timestamp,cfg_id,backtest_variant,cost_variant,n_trades,win_rate,avg_winner_bps,avg_loser_bps,total_return_pct,sharpe_daily,max_drawdown_pct
2026-05-13T17:10:59.532496+00:00,C1_tgt10_stp05_h120_close,top1_T0_ambigMid,cost_retail,621,0.0483,5.32,-2.23,-0.1156,-3.718,0.1154
2026-05-13T17:12:50.045294+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0.20,cost_retail,233,0.0000,0.00,-1.87,-0.0437,-2.152,0.0435
2026-05-13T17:12:56.041813+00:00,D1_tgt15_stp05_h120_close,top1_T0.20,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T17:14:00.793399+00:00,B1_tgt075_stp04_h60_close,top1_T0_ambigMid,cost_retail,621,0.3156,4.41,-5.10,-0.1304,-2.578,0.1302
2026-05-13T17:14:44.447117+00:00,C2_tgt10_stp05_h120_slip5,top3_ambigProp,cost_retail,1863,0.1481,5.61,-3.34,-0.3754,-2.592,0.3752
2026-05-13T17:15:45.180997+00:00,C1_tgt10_stp05_h120_close,top3_ambigProp,cost_inst,1863,0.2244,5.43,-2.53,-0.1380,-0.824,0.1572
2026-05-13T17:16:52.843415+00:00,D1_tgt15_stp05_h120_close,top3,cost_inst,1863,0.2088,5.70,-2.01,-0.0738,-0.369,0.0922
2026-05-13T17:17:01.864383+00:00,E1_wideRR_tgt08_stp03_h90,top3,cost_inst,1863,0.2029,3.55,-1.58,-0.1004,-1.618,0.1059
2026-05-13T17:18:00.170249+00:00,B1_tgt075_stp04_h60_close,top3_ambigProp,cost_inst,1863,0.3650,5.28,-3.98,-0.1122,-0.954,0.1257
2026-05-13T17:20:22.454442+00:00,C1_tgt10_stp05_h120_close,top3_ambigProp,cost_retail,1863,0.1659,5.73,-3.71,-0.3988,-2.381,0.3986
2026-05-13T17:21:14.711327+00:00,E1_wideRR_tgt08_stp03_h90,top3,cost_retail,1863,0.1149,4.42,-2.76,-0.3612,-5.821,0.3610
2026-05-13T17:21:16.663272+00:00,D1_tgt15_stp05_h120_close,top3,cost_retail,1863,0.1390,6.84,-3.19,-0.3347,-1.674,0.3345
2026-05-13T17:22:36.726019+00:00,B1_tgt075_stp04_h60_close,top3_ambigProp,cost_retail,1863,0.3162,4.59,-5.05,-0.3730,-3.173,0.3739
2026-05-13T17:24:30.866419+00:00,D1_tgt15_stp05_h120_close,top1_T0_ambigProp,cost_inst,621,0.0113,0.43,-0.51,-0.0310,-14.185,0.0309
2026-05-13T17:24:31.674572+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0_ambigProp,cost_inst,621,0.0274,0.31,-0.53,-0.0312,-8.461,0.0312
2026-05-13T17:27:30.432647+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0_ambigProp,cost_retail,621,0.0000,0.00,-1.90,-0.1182,-32.024,0.1180
2026-05-13T17:27:31.072113+00:00,D1_tgt15_stp05_h120_close,top1_T0_ambigProp,cost_retail,621,0.0000,0.00,-1.90,-0.1179,-53.992,0.1177
2026-05-13T17:31:10.105750+00:00,D1_tgt15_stp05_h120_close,top1_T0_ambigMid,cost_inst,621,0.0113,0.43,-0.51,-0.0310,-14.185,0.0309
2026-05-13T17:31:10.542262+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0_ambigMid,cost_inst,621,0.0274,0.31,-0.53,-0.0312,-8.461,0.0312
2026-05-13T17:35:15.734804+00:00,E1_wideRR_tgt08_stp03_h90,top1_T0_ambigMid,cost_retail,621,0.0000,0.00,-1.90,-0.1182,-32.024,0.1180
2026-05-13T17:35:15.794809+00:00,D1_tgt15_stp05_h120_close,top1_T0_ambigMid,cost_retail,621,0.0000,0.00,-1.90,-0.1179,-53.992,0.1177
2026-05-13T17:40:29.237098+00:00,D1_tgt15_stp05_h120_close,top3_ambigProp,cost_inst,1863,0.2088,5.70,-2.01,-0.0738,-0.369,0.0922
2026-05-13T17:40:39.316846+00:00,E1_wideRR_tgt08_stp03_h90,top3_ambigProp,cost_inst,1863,0.2034,3.54,-1.58,-0.0999,-1.601,0.1055
2026-05-13T17:45:30.928108+00:00,D1_tgt15_stp05_h120_close,top3_ambigProp,cost_retail,1863,0.1390,6.84,-3.19,-0.3347,-1.674,0.3345
2026-05-13T17:45:50.769354+00:00,E1_wideRR_tgt08_stp03_h90,top3_ambigProp,cost_retail,1863,0.1149,4.42,-2.76,-0.3608,-5.778,0.3606
2026-05-13T20:36:42.859498+00:00,PU4_unfreezeLast2_pnl500_T05_k5,top1_T0,cost_inst,621,0.4026,5.57,-5.47,-0.0637,-0.718,0.0847
